date,price,누적투자금,기업가치,트래픽,버즈량(SNS),소비자 거래지수,소비자 거래건수,고용현황,입사자,퇴사자,선행종합지수(2015=100),선행종합지수 전월비(%),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),선행지수 순환변동치,〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2015=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),동행지수 순환변동치,〔순환변동치 전월차〕(p),후행종합지수(2015=100),후행종합지수 전월비(%),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p),경제심리지수(원계열),경제심리지수(순환변동치),소비자물가지수(2020=100),생활물가지수,식품물가지수,상품,농축수산물,농산물,곡물,채소,과실,기타농산물,축산물,수산물,가공식품,신선식품,신선어개,신선채소,신선과실,신선식품제외,현재생활형편(전체),현재생활형편(여성),현재생활형편(40세미만),현재생활형편(40~50),현재생활형편(50~60),현재경기판단(전체),현재경기판단(여성),현재경기판단(40세미만),현재경기판단(40~50),현재경기판단(50~60),생활형편전망(전체),생활형편전망(여성),생활형편전망(40세미만),생활형편전망(40~50),생활형편전망(50~60),향후경기전망(전체),향후경기전망(여성),향후경기전망(40세미만),향후경기전망(40~50),향후경기전망(50~60),소비지출전망(전체),소비지출전망(여성),소비지출전망(40세미만),소비지출전망(40~50),소비지출전망(50~60),외식비지출전망(전체),외식비지출전망(여성),외식비지출전망(40세미만),외식비지출전망(40~50),외식비지출전망(50~60),소비자심리지수
2021-10-13,2010000,82600000000,750000000000,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107
2021-10-14,2030000,82600000000,750000000000,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107
2021-10-15,2000000,82600000000,750000000000,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107
2021-10-18,1900000,82600000000,750000000000,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107
2021-10-19,1930000,82600000000,750000000000,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107
2021-10-20,2000000,82600000000,750000000000,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107
2021-10-21,2035000,82600000000,750000000000,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107
2021-10-22,2035000,82600000000,750000000000,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107
2021-10-25,2005000,82600000000,750000000000,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107
2021-10-26,2000000,82600000000,750000000000,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107
2021-10-27,1960000,82600000000,750000000000,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107
2021-10-28,1970000,92600000000,1010000000000,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107
2021-10-29,2020000,92600000000,1010000000000,458000,452,83.8,454000,730,45,61,127.5,0,-5.8,0.6,-1.1,1.5,-1.3,-2.8,0.08,100.9,-0.3,5,-0.6,118.1,0.3,-0.4,0.5,1.4,0.4,-0.6,0.4,0.2,100.2,0.1,122.6,0.5,2.7,0.4,-0.2,0.2,0.1,105.5,106.7,103.35,104.42,105.88,104.38,109.01,105.79,107.9,99.16,111.29,109,118.03,100.28,103.34,103.75,100.34,99.06,111.53,103.34,92,91,97,92,90,80,77,83,84,80,98,97,101,98,98,96,94,94,99,97,112,113,119,117,109,96,97,102,98,94,107
2021-11-01,2020000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-02,2020000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-03,2120000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-04,2225000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-05,2300000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-08,2290000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-09,2240000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-10,2250000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-11,2250000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-12,2200000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-15,2200000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-16,2210000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-17,2210000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-18,2240000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
2021-11-19,2235000,92600000000,1010000000000,508000,252,77.4,421000,731,62,53,127.4,-0.1,-4.4,0.3,-1.9,-4.3,-1.3,-2.3,0.1,100.5,-0.4,4.3,-0.7,118.5,0.3,-0.2,0.9,0.5,0.1,-0.2,0.4,0.2,100.3,0.1,123.2,0.5,1.6,0.1,2.3,0.2,0.1,106.2,106.5,103.87,105.08,106.53,105.33,109.47,106.86,107.52,107.04,106,108.16,116.99,101.93,103.98,105.5,102.23,107,106.15,103.79,92,92,97,94,92,81,76,84,86,82,97,97,100,99,99,96,93,98,98,98,115,115,124,121,111,99,95,106,103,97,108
