,보통휘발유,실내등유,보일러등유,자동차용 경유
2018.07,1610.91,942.17,-,1411.85
2018.08,1618.29,946.57,-,1419.13
2018.09,1637.58,959.88,-,1438.93
2018.10,1681.12,997.3,-,1485.02
2018.11,1580.91,1010.34,-,1424.66
2018.12,1433.13,980.16,-,1324.11
2019.01,1351.19,942.73,-,1249.41
2019.02,1343.77,936.42,-,1242.91
2019.03,1369.52,943.86,-,1269.16
2019.04,1424.39,957.81,-,1316.42
2019.05,1517.22,972.46,-,1385.31
2019.06,1517.54,973.43,-,1379.77
2019.07,1491.5,969.23,-,1352.84
2019.08,1493.72,967.96,-,1351.92
2019.09,1529.27,968.84,-,1379.84
2019.10,1540.47,973.08,-,1387.73
2019.11,1535.65,971.83,-,1380.51
2019.12,1548.47,970.78,-,1385.42
2020.01,1568.44,975.31,-,1398.4
2020.02,1545.29,967.82,-,1369.85
2020.03,1469.06,933.1,-,1280.77
2020.04,1323.66,857.98,-,1132.44
2020.05,1255.08,796.46,-,1065.79
2020.06,1322.88,800.93,-,1127.9
2020.07,1360.25,812.31,-,1162.9
2020.08,1361.09,816.77,-,1163.56
2020.09,1352.47,816.62,-,1154.45
2020.10,1333.28,811.77,-,1133.96
2020.11,1319.59,801.97,-,1119.6
2020.12,1367.77,818.15,-,1168.32
2021.01,1441.84,863.83,-,1242.35
2021.02,1463.22,878.27,-,1263.36
2021.03,1513.27,897.28,-,1312.63
2021.04,1534.52,905.6,-,1332.74
2021.05,1541.51,906.4,-,1338.81
2021.06,1577.33,913.94,-,1374.36
2021.07,1629.26,932.17,-,1425.54
2021.08,1645.75,940.89,-,1440.54
2021.09,1642.68,942.96,-,1437.17
2021.10,1712.32,993.02,-,1509.29
2021.11,1737.39,1087.94,-,1549.72
2021.12,1646.37,1094.83,-,1468.9
2022.01,1635.22,1098.1,-,1453.53
2022.02,1714.61,1171.44,-,1536.64
2022.03,1938.46,1347.82,-,1826.93
2022.04,1976.53,1427.82,-,1906.42
2022.05,1967.07,1480.11,-,1964.28
2022.06,2084,1601.77,-,2089.03
2022.07,2029.99,1686.55,-,2084.91
2022.08,1792.19,1639.49,-,1889.31
2022.09,1730,1620.15,-,1850.2
